Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
47,Germany,0.867371082,0.875,0.879544887,0.080179386,0.011,-86.28076299,7.075799942,7.155,1.119308893,72.20201874,72.5,0.412704887,10.7328186,10.873,1.306100524,0.456422031,0.46,0.783916804,Western Europe,0.898874462,0.903,0.458967094
48,Ghana,0.794796526,0.807,1.535421155,0.094170853,0.123,30.61366238,5.147999763,5.088,-1.165496615,57.20398712,57.586,0.667808136,8.350645065,8.58,2.746553508,0.847964764,0.848,0.004155361,Sub-Saharan Africa,0.728601098,0.727,-0.2197496
49,Greece,0.541345119,0.582,7.509974612,-0.300907373,-0.288,-4.289483794,5.514999866,5.723,3.771534706,72.40525818,72.6,0.268960881,10.13232613,10.279,1.447583389,0.859931409,0.823,-4.294692415,Western Europe,0.814380348,0.823,1.058430747
50,Guatemala,0.908147573,0.906,-0.236478416,-0.042938665,-0.038,-11.50167338,6.398900032,6.435,0.564158962,64.8089447,64.958,0.229991864,8.924805641,9.053,1.436382641,0.783237457,0.775,-1.051718981,Latin America and Caribbean,0.816621482,0.813,-0.443471312
51,Guinea,0.706846774,0.697,-1.393056368,0.076328471,0.095,24.46207654,4.949299812,4.984,0.701113073,54.46780014,55.008,0.991778369,7.750990391,7.838,1.122561177,0.761794448,0.766,0.552058631,Sub-Saharan Africa,0.637573481,0.639,0.223741897
52,Haiti,0.537825167,0.593,10.25887898,0.40053457,0.422,5.359195337,3.720799923,3.615,-2.843472511,55.59862518,55.7,0.182333322,7.411329269,7.477,0.886085729,0.684767246,0.721,5.291251036,Latin America and Caribbean,0.593247831,0.54,-8.975646975
53,Honduras,0.870603263,0.857,-1.562509995,0.086969115,0.081,-6.863488262,5.953199863,5.919,-0.574478663,67.19876862,67.3,0.150644695,8.424534798,8.648,2.652552424,0.801131904,0.809,0.982122415,Latin America and Caribbean,0.821870148,0.812,-1.200937645
54,Hong Kong S.A.R. of China,0.779833794,0.717,-8.057331509,0.134979904,0.067,-50.36298144,5.510399818,5.477,-0.606123314,76.77170563,76.82,0.06290647,10.9346714,11,0.597444565,0.420607209,0.403,-4.186140566,East Asia,0.845969081,0.836,-1.178421437
55,Hungary,0.718964577,0.755,5.012127739,-0.194323018,-0.186,-4.283083953,6.000400066,5.992,-0.139991766,67.60997009,68,0.57688224,10.24924374,10.358,1.061114974,0.892916501,0.876,-1.894522162,Central and Eastern Europe,0.921934128,0.943,2.284964984
56,Iceland,0.948891878,0.955,0.643711064,0.246944219,0.16,-35.20803984,7.504499912,7.554,0.659605418,73,73,0,10.77255917,10.878,0.978790911,0.711709738,0.673,-5.438978271,Western Europe,0.974669576,0.983,0.854692114
57,India,0.881444871,0.893,1.310930426,0.057551607,0.089,54.64381386,3.573299885,3.819,6.876000417,60.21518707,60.633,0.693866365,8.849823952,8.755,-1.071478399,0.772042692,0.774,0.253523286,South Asia,0.592200935,0.603,1.823547442
58,Indonesia,0.870614409,0.873,0.27401235,0.519586504,0.542,4.313717894,5.285600185,5.345,1.123804543,62.15584946,62.236,0.12895092,9.36975193,9.365,-0.050715644,0.876296401,0.867,-1.060874036,Southeast Asia,0.808379889,0.811,0.324118776
59,Iran,0.647873282,0.608,-6.154487785,0.117891103,0.218,84.91641392,4.672399998,4.721,1.040150715,66.00614929,66.3,0.44518687,9.813719749,9.584,-2.340802009,0.714635968,0.714,-0.088991882,Middle East and North Africa,0.694689691,0.71,2.203906175
60,Iraq,0.633182645,0.63,-0.502642488,-0.06956476,-0.053,-23.81199906,4.784800053,4.854,1.446245323,59.90354919,60.583,1.134241325,9.661095619,9.24,-4.358673546,0.82226181,0.875,6.413795382,Middle East and North Africa,0.747694969,0.746,-0.226692578
61,Ireland,0.886982977,0.879,-0.90001468,0.145784974,0.077,-47.18248535,7.093699932,7.085,-0.122643079,72.30078888,72.4,0.137219969,11.16097832,11.342,1.621915882,0.357184172,0.363,1.628243482,Western Europe,0.942081571,0.947,0.522081012
62,Israel,0.747580588,0.8,7.011874417,0.10259372,0.031,-69.78372555,7.128600121,7.157,0.398393493,73.20025635,73.503,0.413582773,10.41752529,10.575,1.511632615,0.78085506,0.753,-3.567251008,Middle East and North Africa,0.913571239,0.939,2.783445879
63,Italy,0.66465199,0.693,4.265090668,-0.043460999,-0.084,93.27673531,6.38740015,6.483,1.496694238,73.60168457,73.8,0.269444145,10.48183632,10.623,1.346745701,0.873404682,0.866,-0.847795089,Western Europe,0.889878571,0.88,-1.110103257
